location,Medellín,Medellín,Medellín,Medellín
lat,6.25154,6.25154,6.25154,6.25154
lon,-75.54994,-75.54994,-75.54994,-75.54994
asl,2043.341,2043.341,2043.341,2043.341
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Medellín Temperature [2 m elevation corrected],Medellín Relative Humidity [2 m],Medellín Wind Speed [10 m],Medellín Wind Direction [10 m]
20210112T1400,26.459213,54.0,9.346143,74.35776
20210112T1500,26.329214,53.0,10.805998,60.018356
20210112T1600,25.639214,55.0,12.594856,59.036255
20210112T1700,24.359213,59.0,13.089354,58.495735
20210112T1800,22.319214,68.0,10.296251,53.53076
20210112T1900,20.659214,78.0,9.085988,56.30993
20210112T2000,19.949215,84.0,7.771331,76.6075
20210112T2100,19.129213,93.0,9.504273,65.37643
20210112T2200,19.239214,95.0,7.9036193,59.93141
20210112T2300,18.399214,97.0,6.3690495,42.70938
20210113T0000,17.329214,96.0,5.3999996,53.130096
20210113T0100,16.639214,96.0,5.692099,55.304832
20210113T0200,16.389214,96.0,6.193674,54.46232
20210113T0300,16.159214,96.0,5.315336,61.699234
20210113T0400,16.069214,96.0,4.510787,61.38954
20210113T0500,16.129213,96.0,3.319036,40.601288
20210113T0600,16.229214,96.0,2.6208394,15.945404
20210113T0700,16.639214,95.0,2.2768397,18.434952
20210113T0800,18.949215,87.0,4.3349743,85.23635
20210113T0900,21.869213,77.0,5.3999996,89.99999
20210113T1000,24.169214,68.0,7.6367526,81.869896
20210113T1100,25.469213,61.0,7.0911775,66.037506
20210113T1200,26.149214,59.0,8.225035,66.8014
20210113T1300,26.459213,56.0,9.983106,64.358986
20210113T1400,26.409214,56.0,13.202726,64.13365
20210113T1500,25.929214,57.0,15.0038395,59.74356
20210113T1600,24.919214,62.0,15.077082,56.68936
20210113T1700,23.439215,68.0,14.081477,57.5288
20210113T1800,21.329214,79.0,11.4862,57.80426
20210113T1900,19.999214,89.0,8.891343,58.24051
20210113T2000,20.279213,88.0,7.42159,75.96376
20210113T2100,19.649214,94.0,8.089993,69.14554
20210113T2200,19.729214,95.0,5.315336,61.699234
20210113T2300,19.579214,96.0,4.3498964,65.55604
20210114T0000,19.019215,97.0,5.1544156,77.905235
20210114T0100,18.379213,96.0,4.1046314,74.74488
20210114T0200,17.789215,96.0,4.32,89.99999
20210114T0300,17.419214,96.0,3.6,89.99999
20210114T0400,17.179214,96.0,2.9024127,82.874985
20210114T0500,16.989214,96.0,1.835647,78.69006
20210114T0600,16.809214,96.0,1.2979984,33.690063
20210114T0700,16.999214,95.0,1.08,360.0
20210114T0800,18.979214,89.0,7.628263,70.70995
20210114T0900,21.279213,81.0,6.130579,86.63353
20210114T1000,23.539213,70.0,6.28713,76.75948
20210114T1100,25.209213,64.0,4.379589,80.537674
20210114T1200,26.299213,57.0,5.8603754,79.38034
20210114T1300,26.819214,54.0,6.6185193,67.61986
20210114T1400,27.029213,53.0,7.0911775,66.037506
20210114T1500,25.839214,56.0,8.39657,59.036232
20210114T1600,25.039213,59.0,9.931042,46.468796
20210114T1700,23.899214,65.0,10.691453,44.999985
20210114T1800,22.039213,73.0,9.931042,46.468796
20210114T1900,20.539213,82.0,8.435069,50.194427
20210114T2000,20.199213,88.0,7.491114,54.782394
20210114T2100,19.709213,91.0,6.696387,53.746155
20210114T2200,19.309214,92.0,6.297428,59.036255
20210114T2300,18.999214,93.0,5.1919937,56.30993
20210115T0000,18.549213,93.0,4.8433046,48.01277
20210115T0100,18.159214,95.0,3.8939953,56.30993
20210115T0200,17.869213,96.0,3.5455887,66.037506
20210115T0300,17.799213,96.0,3.5455887,66.037506
20210115T0400,17.739214,96.0,3.4152596,71.56504
20210115T0500,17.669214,96.0,3.5455887,66.037506
20210115T0600,17.599213,96.0,4.198285,59.036232
20210115T0700,17.829214,96.0,4.6102495,51.34018
20210115T0800,18.369213,94.0,5.1919937,56.30993
20210115T0900,19.019215,92.0,6.439876,63.43495
20210115T1000,19.479214,90.0,6.439876,63.43495
20210115T1100,20.969213,79.0,7.4128532,60.945396
20210115T1200,23.239214,67.0,8.4963045,53.61563
20210115T1300,23.789213,64.0,7.7043357,52.594643
20210115T1400,22.959213,65.0,9.085988,56.30993
20210115T1500,23.909214,63.0,10.883676,55.784294
20210115T1600,23.459213,64.0,11.183201,56.82148
20210115T1700,22.489214,67.0,11.183201,56.82148
20210115T1800,20.709213,73.0,9.220499,51.34018
20210115T1900,19.209213,82.0,8.287822,55.61966
20210115T2000,18.349213,91.0,7.9036193,59.93141
20210115T2100,17.739214,96.0,6.792466,57.994614
20210115T2200,17.489214,96.0,5.495161,58.392494
20210115T2300,17.369213,96.0,5.00128,59.74356
